link,title,watch,bullet_chat,time,up
https://www.bilibili.com/video/av92813862?from=search,「疫情之下」在英国的Costco超市屯粮竟然被黑人大妈背后骂病毒？,17.7万,486,2020-03-01,Master蛋_
https://www.bilibili.com/video/av93104888?from=search,英国首相：我们有重大的计划应对疫情,3.1万,0,2020-03-02,小央视频
https://www.bilibili.com/video/av91204053?from=search,美国”吹哨人“爆料CDC刻意隐瞒疫情！,58.3万,2539,2020-02-23,金灿荣频道
https://www.bilibili.com/video/av91900795?from=search,骁话一下：每百人6个被忽悠，引爆韩国疫情的奇葩邪教，为何如此猖獗？,150.6万,4.0万,2020-02-26,观察者网
https://www.bilibili.com/video/av92670708?from=search,【厉害】全球疫情之下，普通人将被颠覆的生活【金融故事06】,2.1万,962,2020-02-29,厉害财经
https://www.bilibili.com/video/av88061096?from=search,【巫师】疫情对经济的影响：专题报告【巫师经济学03】,417.0万,5.6万,2020-02-11,巫师财经
https://www.bilibili.com/video/av92070308?from=search,韩国疫情告急文在寅，效仿中国准备封城。,13.8万,194,2020-02-27,weizhuozhuo
https://www.bilibili.com/video/av89330859?from=search,【懂点儿啥30】中国的疫情，让我们再次看到外媒的毫无底线,41.5万,1.6万,2020-02-16,观察者网
https://www.bilibili.com/video/av92022821?from=search,一次疫情让这些发达国家看到，什么是强大的中国力量,1.4万,36,2020-02-27,bili_22651731483
https://www.bilibili.com/video/av92197546?from=search,【眉山论剑】这一次疫情，提醒我们中国人不能丢了战备思维,47.6万,5549,2020-02-27,观视频工作室
https://www.bilibili.com/video/av92363593?from=search,多国领导人就疫情向中国表态，普京：相信中国！,17.8万,1962,2020-02-28,广东共青团
https://www.bilibili.com/video/av93090822?from=search,日本僧侣赤身当头浇水，祈祷疫情早日结束,17.7万,554,2020-03-02,观察者网
https://www.bilibili.com/video/av90145070?from=search,新加坡部长涉疫情录音泄漏，信息量太大，香港中招,183.8万,5810,2020-02-19,观察者网
https://www.bilibili.com/video/av92917530?from=search,疫情期老人连续数日没有音讯 民警爬窗进屋被眼前一幕吓到,5.6万,20,2020-03-01,腾讯新闻搬运工
https://www.bilibili.com/video/av92928402?from=search,韩国疫情|对不起 我给中国人丢脸了，我怕死 TT 但我真的不能回国，家人有手术史,2.4万,417,2020-03-01,南韩八妹
https://www.bilibili.com/video/av87325478?from=search,由于疫情严峻 昨天被老婆打后她一直不肯送我去医院,95.9万,116,2020-02-07,老婆爱吃巧乐兹
https://www.bilibili.com/video/av90357668?from=search,疫情期间，不要减肥！不要减肥！不要减肥！,89.0万,714,2020-02-20,广东共青团
https://www.bilibili.com/video/av92563367?from=search,意大利疫情爆发第七天！人数持续上涨，官方为了减少恐慌，只公布严重患者人数，以及死亡人数。目前最后更新确诊人数为933例,2.9万,99,2020-02-29,意大花
https://www.bilibili.com/video/av92559957?from=search,疫情Vlog|韩国现状|同机发热集中隔离,2.3万,132,2020-02-29,Sunruarua
https://www.bilibili.com/video/av91911954?from=search,【韩国疫情】韩国大邱人怎么看疫情爆发,30.9万,2811,2020-02-26,韩国机票비행기표
https://www.bilibili.com/video/av92587060?from=search,联合国秘书长发表声明：控制疫情的窗口期正缩小,2.6万,19,2020-02-29,小央视频
https://www.bilibili.com/video/av92308359?from=search,日本疫情新情况今日份儿vlog，最后有重要调查结果，吓尿级信息。今夜大家都在抢厕纸，只有我很淡定，看破红尘了，我摊牌了,95.1万,6888,2020-02-28,东京大明白
https://www.bilibili.com/video/av91828801?from=search,新冠病毒笼罩下的韩国已水深火热|韩国人对待疫情的态度,13.2万,807,2020-02-26,woo于于
https://www.bilibili.com/video/av90222016?from=search,疫情时期的海外华人到底经历了什么？｜新冠肺炎,131.8万,2.7万,2020-02-20,歪果仁研究协会
https://www.bilibili.com/video/av92176317?from=search,外交部：韩日抗击疫情，中国不会缺席,23.0万,291,2020-02-27,共青团中央
https://www.bilibili.com/video/av92545444?from=search,肺炎疫情当前，日本韩国意大利等五国的应对措施可以打几分？对比方知祖国好！,1.6万,39,2020-02-29,英灵不朽李振藩
https://www.bilibili.com/video/av92603088?from=search,日本疫情升级，终于出新对策，日本工作小姐姐还是表示深深担忧,1.6万,74,2020-02-29,粉柠檬呀在东京
https://www.bilibili.com/video/av91214409?from=search,武汉街头路遇兔子狂奔：像极了疫情过去之后的大家,12.1万,103,2020-02-24,是牧羊女
https://www.bilibili.com/video/av92943523?from=search,【韩国记录】疫情下的3月1日，我的小区突然好安静，有一种莫名的担心/购买垃圾袋/公园没人,2.8万,180,2020-03-01,李朴频道LPCH
https://www.bilibili.com/video/av92101151?from=search,钉钉火到日本了！日本新冠肺炎疫情日益严峻，企业及学校纷纷采取应对措施。,20.2万,177,2020-02-27,半醒活人
https://www.bilibili.com/video/av91824853?from=search,美国参议院就疫情举行听证会，国土安全部长却“一问三不知”,40.6万,3347,2020-02-26,观察者网
https://www.bilibili.com/video/av91646127?from=search,"真实的日本现状，在日华人为什么被迫待在家里，公司社员又是怎么看待疫情的？（p2是修复版,p1的字幕君暴走了T_T）",35.4万,3107,2020-02-25,kimi和alypo
https://www.bilibili.com/video/av93207021?from=search,习近平考察新冠肺炎疫情科研攻关和诊疗救治工作,3.1万,0,2020-03-02,央视新闻
https://www.bilibili.com/video/av92528354?from=search,实拍疫情下的日本｜厕纸被抢光｜东京购物｜交通,4.7万,800,2020-02-29,Linksphotograph
https://www.bilibili.com/video/av91767297?from=search,意大利疫情持续扩散，老外建起了“火神山”医院！！老外们日常怎么应对，没有任何反应，不戴口罩该吃吃该喝喝,32.8万,651,2020-02-26,意大花
https://www.bilibili.com/video/av92510031?from=search,【转载】用程序演示【学校停课必要性】疫情期间能否开学？,2.6万,34,2020-02-29,星河落日辉
https://www.bilibili.com/video/av88636177?from=search,华裔演员上崔娃秀 吐槽亚洲人因疫情受歧视,74.7万,2251,2020-02-13,观察者网
https://www.bilibili.com/video/av87162886?from=search,疫情期间有人扔猫？居然捡到一只布偶！,29.5万,720,2020-02-07,造型师陈雪
https://www.bilibili.com/video/av92378242?from=search,受疫情影响恐慌的日本老人,1.1万,43,2020-02-29,十万小表妹
https://www.bilibili.com/video/av92130839?from=search,拒绝“0突破” 朝鲜工作人员全副武装消毒防疫情,12.2万,264,2020-02-27,小央视频
https://www.bilibili.com/video/av92545190?from=search,"疫情突然爆发后超市被搬空,留学生只能吃蓝纹奶酪披萨l意大利怎么突然失控了？",5.1万,527,2020-02-29,深水在深水里
https://www.bilibili.com/video/av92839395?from=search,最值得尊敬的魔兽玩家！部落勇士一线战疫情！为了中国！为了艾泽拉斯！,3.4万,268,2020-03-02,小软爱你哟
https://www.bilibili.com/video/av89153418?from=search,一叫“外挂”的国外游戏公司为武汉疫情捐了7000多万？,39.2万,856,2020-02-15,折腾5号
https://www.bilibili.com/video/av91301767?from=search,韩国的疫情越来越得到重视，可是，等晚上开始喝酒了，就啥都忘了？千万别啊！,52.2万,319,2020-02-24,花都人咋样
https://www.bilibili.com/video/av92043857?from=search,被认成中国人的亚裔老人因疫情遭辱骂殴打，意大利歌手怒扇施暴者,108.7万,1076,2020-02-27,观察者网
https://www.bilibili.com/video/av91873461?from=search,【抗击疫情】骚操作不断，日本终于放了个大招！,2.5万,160,2020-02-27,利利川
https://www.bilibili.com/video/av90647367?from=search,【阿米尔汗】首发：面对疫情，米叔有话对中国朋友们说...,101.4万,3776,2020-02-21,阿米尔汗粉丝团
https://www.bilibili.com/video/av87786609?from=search,新冠肺炎疫情：李文亮医生之死的真相,187.6万,8841,2020-02-09,NathanRich火锅大王
https://www.bilibili.com/video/av92520720?from=search,韩国疫情严重的第七天，昨天来上课的那个发烧的女生今天又请假了，好像更严重了，晚上回去的时候发现街上人很多,3.3万,44,2020-02-29,yexi13
https://www.bilibili.com/video/av90952065?from=search,【韩国记录】大邱确认超级传播 疫情爆发后的首尔,37.7万,1989,2020-02-23,韩国快乐留学生小蔡
https://www.bilibili.com/video/av87890252?from=search,疫情期间，我一个人在废弃医院睡了一周...,90.7万,5659,2020-02-10,波桑吃遍世界
https://www.bilibili.com/video/av92060646?from=search,尬！被问美国现在疫情如何，美国土安全部长一问三不知,16.8万,749,2020-02-27,青春山东
https://www.bilibili.com/video/av92273716?from=search,Vlog | 日本疫情当下 撤离东京回北京,4.3万,376,2020-02-28,大和藻虾0212
https://www.bilibili.com/video/av92030793?from=search,韩国疫情大爆发，中国姑娘在韩的一天是如何度过的,18.3万,476,2020-02-27,卡油卡油가요입니다
https://www.bilibili.com/video/av90729352?from=search,日本疫情严重 甚至将从中国进口口罩！日本网友：我被安倍的无能震惊了！,73.4万,2208,2020-02-22,知日酱
https://www.bilibili.com/video/av90616562?from=search,新冠肺炎疫情中最致命的“双重标准”！我们能学到哪些教训？,55.5万,4138,2020-02-21,温柔JUNZ
https://www.bilibili.com/video/av86101412?from=search,国外网友如何看待武汉疫情？外国小哥怒怼键盘侠,59.1万,6861,2020-02-01,Noel苏诺伊
https://www.bilibili.com/video/av91825029?from=search,韩国疫情爆发，大批韩国人去其他国家避难，已有七个国家禁止韩国人入境，严防疫情境外输入，中国采取措施,27.7万,288,2020-02-26,月色小志
https://www.bilibili.com/video/av86052908?from=search,"新型冠状病毒有多狡猾？疫情当头,肺炎之下,病毒与人类的军备竞赛,谁能活到最后？武汉加油!",187.2万,1.4万,2020-02-04,思维实验室
https://www.bilibili.com/video/av92057916?from=search,江苏部分地区疫情已解封 夜市小吃一条街全面营业 到处都是吃货,1.2万,28,2020-02-27,我的大计划
https://www.bilibili.com/video/av92124457?from=search,疫情期间发烧40度｜我好像要死了｜同居生活Vlog07,13.6万,3303,2020-02-28,BaoziHana
https://www.bilibili.com/video/av92463378?from=search,2020年2月28日韩国越来越严重的肺炎疫情下人们在做什么？,3.3万,90,2020-02-29,路易旅行LUEtour
https://www.bilibili.com/video/av92160558?from=search,疫情复工的第一天，我被裁员了……,59.0万,2055,2020-02-28,我是恬恬酱啊
https://www.bilibili.com/video/av88065796?from=search,武汉软件损害学生财产？请别用疫情“绑架”学生。,411.3万,2.5万,2020-02-10,小毒MomentD
https://www.bilibili.com/video/av92902518?from=search,2020年3月1日日本新型肺炎疫情汇总报告(+采买物资vlog),2.3万,193,2020-03-02,PON_CH
https://www.bilibili.com/video/av87656611?from=search,《生活因你而火热》疫情之下，英雄辈出【突然听懂系列】,95.2万,3291,2020-02-09,喵不磕盐
