link,title,watch,bullet_chat,time,up
https://www.bilibili.com/video/av88506068?from=search,老撕鸡：粉丝被卡在车内下不来，机智的我用2桶汽油，成功把粉丝解救，最后用平底锅吃鸡,20.5万,705,2020-02-12,老撕鸡解说
https://www.bilibili.com/video/av53430146?from=search,【猪千千】吃鸡遇到偷老爸账号的六岁小孩子，说的话把我萌出雪qwq，但是最后被他老爸抓个现行。,86.2万,6316,2019-05-24,猪千千丶
https://www.bilibili.com/video/av92947364?from=search,突击手蜜獾：挑战只用一座心形楼物资吃鸡，百米外机瞄AK秒人？自瞄？,6.6万,556,2020-03-02,突击手蜜獾
https://www.bilibili.com/video/av27538173?from=search,卢本伟29杀吃鸡完整视频,222.5万,7.0万,2018-07-23,曙神之光
https://www.bilibili.com/video/av36283809?from=search,深度揭秘45杀吃鸡外挂玄机，内幕多到你不敢想象！,125.8万,1.2万,2018-11-19,燃茶哥哥在此
https://www.bilibili.com/video/av92223331?from=search,[chocoTaco中文]带新手小朋友吃鸡局绝地求生PUBG,5228,31,2020-02-28,Stanlett
https://www.bilibili.com/video/av60956892?from=search,PDD带妹子吃鸡，突然出现卢本伟的声音，吓骚猪一大跳！,241.2万,3900,2019-07-27,主播圈内事
https://www.bilibili.com/video/av90891637?from=search,突击手蜜獾：只用石块上物资吃鸡，看来我的是个非酋！,19.8万,909,2020-02-22,突击手蜜獾
https://www.bilibili.com/video/av90780482?from=search,人机9527：挑战用礼品盒中物资吃鸡，里面堪比超级空投，富的流油,1.6万,76,2020-02-22,人机9527来了
https://www.bilibili.com/video/av79861914?from=search,评分暴跌的“吃鸡”游戏，吉利服不能捡只能买，安装包不到100MB,37.0万,504,2019-12-19,小贝的游戏食堂
https://www.bilibili.com/video/av85916902?from=search,二老师教学篇：一种挨打就能吃鸡的套路，有史以来最脏的打法！,24.2万,230,2020-01-31,二老师原创
https://www.bilibili.com/video/av29284067?from=search,Shroud挑战单排只用消音左轮吃鸡！！？击杀集锦 绝地求生大逃杀 FPP,112.9万,3997,2018-08-13,超級突破手乔治
https://www.bilibili.com/video/av92424175?from=search,突击手蜜獾：挑战只用复活塔下的物资吃鸡，这波漂移有东西~,8.0万,554,2020-02-29,突击手蜜獾
https://www.bilibili.com/video/av61640914?from=search,当PDD连麦乔碧罗吃鸡，全程高能笑出猪叫,176.1万,3889,2019-07-31,猪酱的日常
https://www.bilibili.com/video/av90379696?from=search,狙击手麦克：挑战用两把DP-28吃鸡！搭配机动兵，差点逼疯4人小队,24.2万,3965,2020-02-20,狙击手麦克
https://www.bilibili.com/video/av81454392?from=search,“吃鸡”40vs40高塔拳击赛，场面一片混乱，摔下去就出局！,27.1万,442,2019-12-31,小贝的游戏食堂
https://www.bilibili.com/video/av90902769?from=search,老撕鸡：挑战穿着“波比熊”皮肤吃鸡，强行帮敌人降低游戏难度！,13.0万,581,2020-02-22,老撕鸡解说
https://www.bilibili.com/video/av87595808?from=search,一个穿越火线玩家刚玩吃鸡时......,44.6万,1804,2020-02-08,一只欧卡米
https://www.bilibili.com/video/av76272448?from=search,【刘老师】逆天吐槽大波妹子在线吃鸡的沙雕烂片《横行霸道》,130.4万,2706,2019-11-19,刘老师说电影
https://www.bilibili.com/video/av73520595?from=search,和平精英：刚更新的“望远镜”竟是超级武器，决赛圈有它轻松吃鸡,60.2万,868,2019-10-26,老撕鸡解说
https://www.bilibili.com/video/av66985909?from=search,狙击手麦克：挑战不可能！只用一把沙漠之鹰吃鸡，难度太大了！,46.1万,4013,2019-09-08,狙击手麦克
https://www.bilibili.com/video/av90687542?from=search,美服碰到辱华脑残老外，献祭以后成功吃鸡,59.5万,4441,2020-02-22,Mr_Future
https://www.bilibili.com/video/av88722612?from=search,突击手蜜獾：挑战不用地图吃鸡，最少20杀，却找不到安全区在哪了！,11.3万,599,2020-02-13,突击手蜜獾
https://www.bilibili.com/video/av91726528?from=search,【诸葛大力/成果/狗哥】斗鱼直播首秀完整版录屏（蓝战非带女神吃鸡？）,36.4万,5235,2020-02-26,茶七七七酱
https://www.bilibili.com/video/av88959939?from=search,突击手蜜獾：用超大玩偶熊吃鸡，皮肤还有隐藏彩蛋，解锁一只大能喵！,8.8万,638,2020-02-14,突击手蜜獾
https://www.bilibili.com/video/av83598562?from=search,B站版吃鸡！？【拜年祭情报】,137.1万,9284,2020-01-20,花少北丶
https://www.bilibili.com/video/av16949748?from=search,马化腾：我玩农药少，最近喜欢吃鸡,205.4万,3420,2017-12-04,StandPain
https://www.bilibili.com/video/av91603856?from=search,“吃鸡”耗时近30天，挑战用滑翔机撞上飞机，结局会是怎么样？,27.0万,2475,2020-02-25,小贝的游戏食堂
https://www.bilibili.com/video/av92289812?from=search,皇冠自闭城单四26杀吃鸡 就这 就这,1.3万,75,2020-02-28,上官雪飞
https://www.bilibili.com/video/av91162561?from=search,老撕鸡：第二次挑战穿着“波比熊”皮肤吃鸡，大菠萝13杀没有对手,17.5万,438,2020-02-23,老撕鸡解说
https://www.bilibili.com/video/av88791932?from=search,硬抄！真就端游抄手游！吃鸡端游上线跳伞跟随功能和死斗模式,22.2万,518,2020-02-14,Stan李昂
https://www.bilibili.com/video/av89214617?from=search,Minecraft 在草丛打枪枪【吃鸡伺服器】 !! 沙漠之鹰+Kar98狙击枪【超强连杀】裸体吃鸡【装备落地找】!!全字幕,39.9万,1.4万,2020-02-15,阿神的Bili官方頻道
https://www.bilibili.com/video/av24556283?from=search,【老番茄】每个吃鸡的男人都有一段沉痛的过去,291.9万,1.4万,2018-06-15,老番茄
https://www.bilibili.com/video/av76776885?from=search,方舟大结局：5大主播围攻最终BOSS，最后一人成功吃鸡！,97.1万,4269,2019-11-23,社会人迪奥
https://www.bilibili.com/video/av87587063?from=search,突击手蜜獾：挑战双机瞄AWM、M24吃鸡，60杀卡点高能集锦！,12.0万,819,2020-02-08,突击手蜜獾
https://www.bilibili.com/video/av20542748?from=search,【花老师】吃鸡怎么还不凉！？教你如何破坏别人的游戏体验-第一期,94.2万,1.0万,2018-03-09,花少北丶
https://www.bilibili.com/video/av91357032?from=search,敌我吃鸡112期：报告，成功实行空中拦截！,9.7万,1628,2020-02-24,虎视眈眈频道
https://www.bilibili.com/video/av92465034?from=search,【SNH48】双张跟饭头哥的刚枪爆笑吃鸡之旅,7867,547,2020-02-29,三年二班红烧胖大海
https://www.bilibili.com/video/av91354088?from=search,人机9527：只用厕所里的物资吃鸡，这里太穷了，很难刷出信号枪,2.8万,132,2020-02-24,人机9527来了
https://www.bilibili.com/video/av92637044?from=search,双区压感再升级！独家吃鸡秘诀大公开~,3.7万,26,2020-02-29,黑鲨游戏手机
https://www.bilibili.com/video/av89632551?from=search,当四个主播一起组队会发生什么，全套熊装，训练有素，用拳头吃鸡,11.7万,210,2020-02-17,梵茗科技
https://www.bilibili.com/video/av88914051?from=search,看我自制硬核吃鸡 绝地求生,16.4万,224,2020-02-14,iBook_
https://www.bilibili.com/video/av92231484?from=search,【靓评】只要500块!_吃鸡同款四倍镜评测,9.4万,51,2020-02-28,靓仔叁零肆
https://www.bilibili.com/video/av88252253?from=search,突击手蜜獾：挑战胜利后才能捡物资吃鸡！被敌人逮到，他却保护我？,10.7万,808,2020-02-11,突击手蜜獾
https://www.bilibili.com/video/av90182034?from=search,和平精英：雨林地图王牌局，决赛圈冷静分析逐个击破，3打7逆风吃鸡,16.9万,1248,2020-02-19,老撕鸡解说
https://www.bilibili.com/video/av85118146?from=search,今天吃鸡,52.1万,866,2020-01-26,稻草放毒
