name,sex,sign,content
羽佳小伙Francis,男,我永远喜欢德克萨斯！,昨天晚上实在是太兴奋了，甚至忘记发星姐3D化的祝贺动态了。今天来发个评论补上。$看到昨天星姐的3Dlive，真的打心眼里替星姐高兴。其实我也不算是一个老星咏者，入坑的视频是在去年暑假看到的stay alive的翻唱视频，当时感觉星姐的唱功真的超级好，但是当时关注人数并不是很多，我觉得自己找到了一个宝藏vtb，就果断关注了。之后星姐的两个原创曲pv在B站发布，看到pv的制作者也是星姐的时候，我终于知道她为什么被称为“六边形战士”。后来了解到星姐的经历之后就愈加对星姐感到钦佩了。从个人势，到被其他公司拒绝，然后在hololive落选，一周后再次面试才进入INNK MUSIC，还曾经自己做过3D，星姐是真的不服输，一直在坚持，也感谢她的坚持，她最终在12月移籍hololive，并迎来了自己的闪耀。昨晚的3Dlive以原创曲“天球、彗星は夜を跨いで”开场，以原创曲“comet”结束，星姐就是这颗经历了遥远的旅途后终于散发出自己光芒的彗星:日本趋势第一，世界第二，404最高5.6w同接，b站773舰长，260万人气，涨粉1万多，小时人气榜第1。结束后达成800舰队，世界趋势第一。感谢星姐，也希望她在实现梦想的道路上永远开心快乐！
seelesky,男,,看suisui快半年了。$从av70396320开始关注suisui，开始是被suisui的沙雕网友性质和打块实力所吸引，后来回头啃投稿，听到了她的两首原创曲，了解到这两年来她的努力，真的被这个努力家深深吸引了。$不久后，凭着一曲“觉醒”(av75359394)，她登上了b站首页，让更多的人认识到她，距离她“让星街彗星被大家认知的计划！！！！”(av65565003)又近了一步。$之后，通过雪山人狼(av77407894)得知suisui的“神经病”，让我一度在反思“我到底推了个啥？”，所幸她不会经常发病(?)。$12月1日，见证了suisui移籍换新衣(av77759080)，这么久的努力开始有了回报。当时听到最后的君の知らない物語，真的，就是眼泪在眼眶里打转。$再到后来1.24的live，她带着她的“天球”(av68150115)，站上了这么大的舞台——而且是她的推第一次登上的舞台，有一种看着自己的好友经过不断努力终于登上舞台的感觉。看着suisui越来越好，真的很开心能认识到suisui。$现在，3D正式出场，一开始我还在和应援团的各位讨论会请谁做嘉宾。结果suisui给了个大惊喜：一小时的live！终于，在这次live的最后听到suisui唱comet(av69068281)了。她在以前说过，comet要留在重要的场合才会唱。最初，我以为她会选择在1.24的live上唱的，没想到是留到了3Dlive(还以为要留到3.22二周年)。她一开口，我的眼泪就开始流，根本停不了。半年前的我怎会想到，自己会因为这么一个喜欢打块、唱歌、有点神经病、带有沙雕气质、又非常努力追逐梦想的彗星疯狂落泪。过去，她还是一颗小小的、不起眼的彗星；如今，她已经成为天上最闪耀的彗星了。(一晚上800+舰队还有谁？！)$啊，不知道说啥好了，光是打这段字我又哭了两张纸巾了。$最后总结一下：$☄☄☄星街彗星天下第一！！！☄☄☄星咏者会一直支持你的！！！☄☄☄$(说起来彗星应该在天上来着？)
不愿透露姓名的星咏者,保密,,敬启$　  星街彗星小姐$$　  明明昨晚刚看完3D演唱会，现在就开始写这样的kimo文，感觉怪怪的。$　  你是个很努力的人，蓝发，星星眼，总是充满活力。$　  我第一次见到你，是在去年的事情。由犬山知道打块再了解到有你这样一位打块高手。你一边闲谈一边和教练团成员打得有来有回的样子，真是一下子就惊艳到我了。当然，我也是很久很久以后才知道，打块强到这种程度的彗酱居然连很多最基本的操作都不够熟悉，可想而知练到这种水平的你付出了多少努力。$　  你是个很努力的人，蓝发，星星眼，总是充满活力。$　  认识了你之后，当然就会去找你以前的视频。那是你上传的第四个视频，你想要灯神说出“星街彗星”的名字，可连续几次的尝试都未能如愿。当时的你，在灯神说出“时乃空”“梓璃梦”的名字后和她们“打招呼”时，心里是什么感情呢？当时的彗酱粉丝还在三位数徘徊，这样“单方面的互动”背后，我读出了一丝落寞和寂寥。$      可能这个说法会显得有点厚颜无耻，我本人也是饱受“博而不精”而困扰的人，没有一样技能可以精通，都是半瓶子的本事，导致既不能拿来当做职业，还会在生活中和工作中被很多人拜托帮忙。每次遇到这种情况，都会想到因为“博而不精”被holo拒绝过一次的彗酱，都会佩服彗酱再一次向梦想发起挑战的勇气，都会责备不够强大的自己。$      但是，也有鼓起勇气行动起来的时候：$　  勇敢地拒绝只是索取从不回报的同事；$　  向着以前未曾设想过的目标前进；$　  不断努力让自己变得更强；$　  学着像彗酱一样百折不挠。$     还有，工作两年后向着一所心仪的985院校再一次发起了冲击。
虚无的蓝魔法,男,希望你与围绕着你的世界，今后也一直幸福下去,从2005年的偶像大师开始，业界每过一个五年就会有一个成功的偶像企划$10年是ll$15年是邦邦$而18年的佐贺偶像这枚重磅炸弹炸下以后，在明确有着足够后盾的佐贺，被大家认为将是下一个五年计划的成功偶像企划$但是没有人注意到，在这18年，vtuber的兴起改变了很多东西，$而也就是这个时候，一位年将过半的，前半生走在标准精英道路上的追梦人，开始追逐自己的梦想，追逐偶像$可他追求的一切似乎都在游戏中堕落了$可是，在2020之初，完美的偶像诞生了$新的五年偶像既不是佐贺，也不是木口，而是木口x佐贺!$这一切都在yagoo的计划中!$这才是新时代的偶像!$不走寻常路的偶像!$奋力去追逐，哪怕平时是game混子，是嚣张混子，是精神恍惚的大姐姐，是僵尸，也会尽力追逐梦想，成为偶像，这才是yagoo想要表达给我们的!$这一切都是yagoo的计划，五年一个偶像大年份，所有积攒下的偶像气运都会给予虚拟的最强者!佐贺有着传统的强势和不一样的创新!而木口更是时代的弄潮儿，在虚拟偶像的大路上一去不复返，二者联合，这一个五年，是属于他们的，是属于yagoo的!$从今天星姐3d的质量来看，holo的技术真的是越来越好了，这是yagoo的执着，星姐也没让他失望$希望木口可以越来越好$ほしまち!ほしまち!$すいせい!すいせい!(a路人肥宅大哭)
Aajon,保密,,セト/Setlist$01:35天球、彗星は夜を跨いで/星街すいせ$L1$06:10 MC(披露目)$09:28 Neo stream/ワルキューレ(マクロスム)$14:23 Absolute 5/ワルキューレ(マクロスム)$19:08射手座大午後九時Don&#39;tbelate/シェリ$ルノーム(マクロスF)$25:05 MC(マイクのデサインとか)$29:05共鳴世界の存在論/二宮飛鳥(アイドル$マスターシンデレラガールズ)$33:38 Hotel moonside/速水奏(アイドルマス$ターシンデレラガールズ)$39:44 Daydream Warrior/Aqours(ラブライブ$サンシャイン)$44:34 MC(トレンド位、今日の演奏のこと)$48:41キラメキライダー/hololive IDOL$PROJECT$53:58 comet/星街すいせい$58:20MC(告知)$自分用/For myself$13:17キラキラな背中$26:15エアりんごジュース$29:54ライティング$47:10回れ回れMerry-go-round$1:01:20絶望な落ち方$转自404评论
萌新Ver,女,羽棠花乐队所属乐师，乐队筹备中，敬请期待,"星街彗星(俗称星姐)是在今年5月下旬加入Hololive新建的音乐厂牌$&#39;イノナカミュージック(简称INNK)&#39;的$活动已超过一年的个人势VTuber.$$她作为&#34;活动中的个人势&#34;加入hololive$不缺才华强项和特色, $走的却不算一帆风顺.她在个人活动期间思考自己的前程$认为&#39;比起个人势, 加入企业并借助企业的名声和资源, 更有可能实现自己的偶像梦想&#39;$遂通过官方网站的招募, 报名了hololive$$然而她在面试后被通知没有通过, 没有明确理由.$不甘就此放弃的她, 回复了落选通知的邮件, $通过一番热忱争取到了第二次面试的机会. $$在第二次面试时, holo方提出了以INNK的名义$让她作为INNK成员加入hololive的提议.$她一看INNK的方针和她对自己的规划比较符合, 当即决定加入INNK.INNK的(突然)成立一度让粉丝们开始困惑, $主要在于INNK和hololive本家的关系.$$这之后出现了关系一览图, 大多数粉丝借此得知$INNK是一个属于Hololive的, &#39;以音乐方面为首&#39;的$由&#39;ツラニミズ&#39;(原AZKi经纪人, 形象为黑色3D青蛙, 以下简称黑青蛙) $主宰的音乐厂牌.她加入INNK并不算是登龙门.$作为个人势途中加入事务所本身属于极端个例,$$并且她起步比大多数本家成员都早(18年3月)$却没有留下亮眼成绩, 订阅数也不算漂亮, $$这样的她在加入初期, 从黑青蛙那里得知的是$$&#39;ホロライブに加入したから、”はいじゃああなたはホロライブです”と、っていう感じにはすぐにはいきません。&#39;$(并不是说你加入了Hololive, 然后就马上能说 &#34;那好你现在是Hololive(的一员)&#34; 这样, 没这么快的)$&#39;自分はどういう人間かっていうことを、コラボとかそういうのをする前に示していかないといけないよ。&#39; $(在搞联动啊这个那个之前, 你得先向大家展示, 你自己是个什么样的人)加入初期, 运营(很委婉地)拒绝了她想和其他成员联动的意愿$所属并非&#39;Hololive&#39;而是&#39;INNK&#39;的她, $并不能理所当然地和Hololive的人一起做事.$$并且INNK由于所属本身不同,$导致SSS, 音声包发售, 小剧场全部没有她的份 $她有提及并不是她不想参加, 而是因为INNK方针如此."
夏色泠宁,保密,,星姐专属：【全自动打钱直播间】$b站限定$八点开始直播，到九点结束，舰长人数一共770+左右，人气260w，金瓜子2.2亿。在凌晨1.40分左右，关注人数达到15w。$星姐下播后，兴奋的DD们仍然停留在直播间，把过往的熟肉当成直播，假戏真做，还出现了十数位同传man在线烤肉（迫真）๑乛◡乛๑$期间sc和上舰接连不停，十点榜二，十一点跟十二点都是在一二十名。$十二点的时候，舰长人数从直播结束时的770名增长到846名（主要是下播后的一个半小时内增长的占大部分）$十二点过后，有30+左右的舰长到期，上舰人数回落到812左右，原本以为今天就此结束。$但是！！！$这只是一个开始！！！Σ(っ °Д °;)っ$因为，深夜霸榜的【全自动打钱直播间】出现了！！∑(°Д°)$从12点开始，也就是在星姐直播结束的三个小时后，直播间里开始「虚空榜一」连续8个小时，就连播的内容都重复了两次以上。（括号里是重点，要考的(~￣△￣)~）$在三点左右，直播间里的DD们甚至开始用sc进行版聊（ ’ - ’ * )$早上五点的时候，早起的DD开始进来接力，再度把直播间送上榜一（ &#39;▿ &#39; ）$六点整的时候，众多DD实在熬不住了，相约六点十五结束【这是谎言！┐(´-｀)┌】，早起的DD们也参与了进来，开始又一轮的接力。$从十二点开始，截止八点十五，累计出现三次红sc，上舰三十余位，总上舰人数达到了847+，数十数百额度的sc更是不计其数。$于是，众DD将此奇观称之为【全自动打钱直播间】$原本想等到熟肉出来的，但是问了一个轴箩莉，她说审核很慢，所以我就睡觉了(。-ω-)zzz，大家可以补充一下。$哦，对了！$最后还要说————————————————————小 心 星 咏 者
唯一の神大人,保密,人之初，性本d，誰でも大好き,说来惭愧，其实我本来没想着上星姐舰的，我本来就开着一直三四个舰几个月了，再多真的撑不住，但看到昨晚的气氛忍不住就跟着一起上了。。。yysy有人跟我差不多想法吗，减轻一下我的罪恶感
斯托博-莫,保密,一个莫名其妙的我，遇到了一个莫名其妙的你,这次直播你将看到：$《手指被狗子叼走的sui酱》$《流水的舰长，铁打的无火佬》$《“是谁在呼叫舰队”. jpg》$《yagoo你看到了吗？！》$《你根本不知道牌子的好感度延迟这么高》$《我单身这么多年的手速还有领不完的舰长？…我天？》$《强 苹果汁 强》$《DD光速分裂》$《星姐累了（❎）药效过了（√）》$《准时上下班》
昵称长是否是好事呢,男,咕咕咕～,雨宫太阳亲自烤肉？
