name,sex,sign,content
334460045,保密,,帧帧美如画，最爱是鬼怪[热词系列_吹爆]
我就想升级,女,吃喜欢的东西，过短命的人生。$,没想到2020年还有人搞鬼怪，太爱了集美们真的有眼光[鼓掌]
笨羊咩咩,保密,禁嘴臭憨批❌,2020年了 又是一年冬春鬼怪时节[爱心]
喵屿森森,女,余生很长，何必慌张,这踩点太爱少主了，2020年了，我还在鬼怪坑里还没有出来[笑哭][笑哭][笑哭]
热爱艺术的小青,保密,祝大家生活愉快~在网络上友爱一些哦~,一直听但不知道什么样的剧，知道看了他人即地狱才知道这部，准备……看[鼓掌]
Leon_Fight,保密,,建议大佬以后加自己的水印之类的，不然这么好的作品被别人盗了真的太可惜
相忘于心别介意,保密,,不管看了多少韩剧，鬼怪在我这里真的永远第一！！
黎废mi,女,宋姳大狗子在此,看完你这剪辑，我又打算才去刷一遍
哆啦小布兜,保密,分享觉得有意思的东东，用我的眼睛带你看世界，爱小动物，爱影视，喜欢科学，持续日更～请大家多多关注点赞，关注不走丢哦(´-ω-`),up怎么剪的啊？出个教程。。
患者陆耳机,女,"Morty ,I'm a pickle,Pickle Rick！！！",每一个画面截图都是壁纸！！
fgo令人秃头,女,,"질량의 크기는 부피와 비례하지 않는다.$　　质量和体积不成正比。$　　제비꽃같은 조그마한 그 계집애가$　　那个如紫罗兰般小巧的丫头，$　　꽃잎같이 하늘거리는 그 계집애가$　　那个似花瓣般轻曳的丫头，$　　지구보다 더 큰 질량으로 나를 끌어당긴다.$　　以远超过地球的质量吸引着我。$　　순간, 나는$　　一瞬间，我$　　뉴턴의 사과처럼$　　如同牛顿的苹果一样，$　　사정없이 그녀에게로 굴러 떨어졌다.$　　不受控制地滚落在她脚下。$　　쿵 소리를 내며$　　咚的一声，$　　쿵쿵 소리를 내며$　　咚咚一声，$　　심장이 하늘에서 땅까지 아찔한 진자 운동을 계속하였다.$　　从天空到大地，心脏在持续着令人眩晕的摆动。$　　첫사랑이었다.$　　那是初恋。"
朱一龙夫人阿梓,女,千山万重，不负卿$微博同名 朱一龙夫人阿梓,金高银欧尼和孔叔，我好想站真人cp啊，可是孔叔是公有财产呜呜呜
爱辛赵的大头,保密,宋大志，辛赵不宣，bz。不会搞视频只会弹幕啊啊啊啊啊啊啊。小白码字，暂时封笔。不会搞B站，瞎玩。,对了这个每一帧都可以当做明信片！太好看了www！
一个扭蛋机,女,叭了个叭叭,bgm和色调爱了[爱心]
十九粒米,保密,,2020年了 我的眼泪哗啦啦的 我永远喜欢鬼怪
Oliviasen,保密,,鬼怪后劲太大了
凉笙呀诶,女,,17年到现在 看了好几遍了 2020年了还在坑底 我出不去了[笑哭][笑哭][笑哭]
小旻e的正房夫人,保密,闪烁的星光点亮朦胧灯光的建筑,鬼怪每一帧都是壁纸啊
Leon_Fight,保密,,20200302就已经1.6w赞1.2w硬币1.3w收藏，剪的是真的好
梦不醒的瞌睡虫,保密,IDOL.,啊啊啊鬼怪，爱死了，那年冬天追剧
可乐鸭w,保密,,真的是一到冬天就想看的剧呀。$希望今年冬天可以和你一起看。
FionaLinW,女,念念不忘 必有回响,是我内心韩剧TOP1啊！！！是每到冬日都会想起的神剧啊！！喜欢里面的每一句台词每一帧画面，喜欢使者喜欢sunny喜欢阿加西喜欢小新娘，我真的太爱这部剧了！！！
神树下的小疯子,保密,,鬼怪当时最开始播的时候，我一边看一边跟闺蜜探讨国产剧的不足【其实主要是在抱怨[捂脸]】
-文涵,女,越努力 越幸运,时长好美妙啊
LifeIsGood_,女,成都天堂担,一下子就想到那个初雪要有初吻呀阿加西
只有一个酒窝的猫,女,爱好自由，特点散漫。,仿佛回到了当初追剧的时光，心空得不行。[爱心][爱心]
13184094756_bili,保密,,啊啊啊啊啊啊啊啊，我爱看鬼怪！！
稀星藏目,保密,专注产粮的up主一枚，欢迎关注~,你太强了！献上三连！
北冥大橘,保密,您的快乐正在派送中……,哪里可以看到这么高清的画质[doge]
椰子小姐ya,保密,,剪的太好了，必须给个一键三连
忘忧草king,保密,正在进击中的剪辑小白，同时狮子粉一个(◍˃̶ᗜ˂̶◍)✩,如果让我评论的话，我心中有两个大爱的韩剧：1.一到冬天就想起来的《鬼怪》$2.每个夏天都会刷一遍的《没关系，是爱情呀》
兰羽城,保密,,没想到2020年了，还能看到有人剪辑鬼怪[大哭]出不来坑了
不准偷西瓜,保密,,《鬼怪》永远作为最爱的韩剧在心底躺平[喜欢]
白茶xy清欢,保密,,刚在微博转发，就出现在我的B站首页上！
痛并快乐着321,保密,自从离开了家乡，我和我的琴都很想你。可是我没有琴，我也没有你。,金高银真的好漂亮啊哦莫
爱加两份珍珠的权司令,女,微博:烤奶爱加两份珍珠的权司令(一个爱瞎剪和专注剪魄的up主),我又想去重温了啊啊啊啊啊！！！！
fxresrt,女,UNINE 卡咩 BTS,剪得好棒呀~我永远爱鬼怪！
伊笹少女yu,女,,韩剧TV可以看，超级喜欢
妄年妹妹,女,Just be afraid of losing you.,up太棒了！看哭了
